id,name,marked_complete,stored_blocks,positive_blocks,observed_min,crossings,database
145,10_61,1,67,65,0.13919414688829654,10,knot_research.db
146,10_62,1,74,72,0.1762439389735451,10,knot_research.db
147,10_63,1,77,75,0.2546941679884666,10,knot_research.db
148,10_64,1,77,75,0.1933395842488141,10,knot_research.db
149,10_65,1,78,76,0.2590540978560324,10,knot_research.db
150,10_66,1,71,69,0.34452633596626714,10,knot_research.db
151,10_67,1,75,73,0.2680033830372334,10,knot_research.db
152,10_68,1,70,68,0.2759259991984447,10,knot_research.db
153,10_69,1,72,70,0.30917605233194856,10,knot_research.db
154,10_70,1,73,71,0.2679491924311224,10,knot_research.db
155,10_71,1,72,70,0.3791205387262706,10,knot_research.db
156,10_72,1,71,69,0.34452633596617005,10,knot_research.db
157,10_73,1,72,70,0.34902052258702543,10,knot_research.db
158,10_74,1,75,73,0.3293244791133732,10,knot_research.db
159,10_75,1,67,65,0.49735042810243435,10,knot_research.db
160,10_76,1,75,73,0.2679491924311221,10,knot_research.db
161,10_77,1,76,74,0.33224627343484064,10,knot_research.db
162,10_78,1,71,69,0.3790238298153989,10,knot_research.db
163,10_79,1,78,76,0.29716360262008784,10,knot_research.db
164,10_80,1,73,71,0.35509974429240443,10,knot_research.db
165,10_81,1,72,70,0.33107698639460464,10,knot_research.db
166,10_82,1,77,75,0.2668878614085088,10,knot_research.db
167,10_83,1,74,72,0.32625051575605796,10,knot_research.db
168,10_84,1,72,70,0.3187517104781139,10,knot_research.db
169,10_85,1,72,70,0.2381999810777922,10,knot_research.db
170,10_86,1,71,69,0.3423175219264163,10,knot_research.db
171,10_87,1,71,69,0.32366798234819044,10,knot_research.db
172,10_88,1,68,66,0.5469724310578161,10,knot_research.db
173,10_89,1,68,66,0.41301303372409776,10,knot_research.db
174,10_90,1,73,71,0.2250935694303113,10,knot_research.db
175,10_91,1,76,74,0.3262505157621378,10,knot_research.db
176,10_92,1,69,67,0.3790238298182898,10,knot_research.db
177,10_93,1,68,66,0.2916318163810291,10,knot_research.db
178,10_94,1,75,73,0.31805983935046345,10,knot_research.db
179,10_95,1,72,70,0.3996174512985256,10,knot_research.db
180,10_96,1,67,65,0.2679491924311221,10,knot_research.db
181,10_97,1,69,67,0.3287545784932146,10,knot_research.db
182,10_98,1,71,69,0.2679491924311224,10,knot_research.db
183,10_99,1,74,72,0.38219713649885184,10,knot_research.db
184,10_100,1,68,66,0.18241626179353304,10,knot_research.db
185,10_101,1,71,69,0.4090861697655712,10,knot_research.db
186,10_102,1,75,73,0.2680033830372439,10,knot_research.db
187,10_103,1,76,74,0.24893558984771622,10,knot_research.db
188,10_104,1,74,72,0.32625051576215675,10,knot_research.db
189,10_105,1,67,65,0.4791811652137759,10,knot_research.db
190,10_106,1,73,71,0.31875364918465793,10,knot_research.db
191,10_107,1,72,70,0.4222912007709973,10,knot_research.db
192,10_108,1,70,68,0.2486788053676186,10,knot_research.db
193,10_109,1,72,70,0.3791205387261798,10,knot_research.db
194,10_110,1,71,69,0.2755282115299786,10,knot_research.db
195,10_111,1,73,71,0.260237598871032,10,knot_research.db
196,10_112,1,71,69,0.32510449796546254,10,knot_research.db
197,10_113,1,66,64,0.5628417135237035,10,knot_research.db
198,10_114,1,71,69,0.357553146615357,10,knot_research.db
199,10_115,1,68,66,0.4384471871911692,10,knot_research.db
200,10_116,1,69,67,0.3347790821890076,10,knot_research.db
201,10_117,1,72,70,0.4333352482333,10,knot_research.db
202,10_118,1,72,70,0.34130928382988474,10,knot_research.db
203,10_119,1,67,65,0.33447520360299754,10,knot_research.db
204,10_120,1,65,63,0.43403338213556625,10,knot_research.db
205,10_121,1,68,66,0.4537048549069592,10,knot_research.db
206,10_122,1,67,65,0.44741716467871284,10,knot_research.db
207,10_123,1,64,62,0.7023428598590845,10,knot_research.db
208,10_124,1,71,70,0.08567323930911108,10,knot_research.db
209,10_125,1,72,71,0.013875321080442387,10,knot_research.db
210,10_126,1,72,71,0.21991042648087245,10,knot_research.db
211,10_127,1,71,70,0.23119726140390284,10,knot_research.db
212,10_128,1,73,72,0.07288059436074512,10,knot_research.db
213,10_129,1,72,71,0.11370050250560537,10,knot_research.db
214,10_130,1,68,67,0.011710337621838488,10,knot_research.db
215,10_131,1,73,72,0.13371751670183418,10,knot_research.db
216,10_132,1,72,71,0.017598121300444986,10,knot_research.db
217,10_133,1,69,68,0.0436973510117331,10,knot_research.db
218,10_134,1,69,68,0.14099106509104622,10,knot_research.db
219,10_135,1,70,69,0.26342259046022576,10,knot_research.db
220,10_136,1,73,72,0.05242293783786672,10,knot_research.db
