id,name,marked_complete,stored_blocks,positive_blocks,observed_min,crossings,database
565,L11a189,1,90,88,0.21610036551644296,11,link_research.db
566,L11a210,1,80,78,0.2970102979642064,11,link_research.db
567,L11a118,1,84,82,0.45474101379172505,11,link_research.db
568,L11a175,1,80,78,0.15089028424759646,11,link_research.db
569,L11a127,1,78,76,0.47836762249072895,11,link_research.db
570,L11a136,1,86,84,0.23560501926637656,11,link_research.db
571,L11a191,1,92,90,0.19455082687379585,11,link_research.db
572,L11a153,1,86,84,0.18684229437788927,11,link_research.db
573,L11a192,1,88,86,0.12540803092928485,11,link_research.db
574,L11a199,1,86,84,0.24351996762637002,11,link_research.db
575,L11a77,1,86,84,0.20432616439716791,11,link_research.db
576,L11a147,1,84,82,0.18402900214290074,11,link_research.db
577,L11a186,1,90,88,0.18700712139705067,11,link_research.db
578,L11a101,1,88,86,0.24108529248494542,11,link_research.db
579,L11a230,1,86,84,0.26215621653209537,11,link_research.db
580,L11a144,1,84,82,0.23500618697226766,11,link_research.db
581,L11a128,1,88,86,0.3351582207139781,11,link_research.db
582,L11a214,1,86,84,0.32791647168459676,11,link_research.db
583,L11a209,1,88,86,0.27300805250727217,11,link_research.db
584,L11a211,1,88,86,0.28975315832903137,11,link_research.db
585,L11a156,1,84,82,0.29647895842918726,11,link_research.db
586,L11a142,1,84,82,0.2662443936402461,11,link_research.db
587,L11a125,1,92,90,0.1811950203074031,11,link_research.db
588,L11a138,1,88,86,0.3389694746777833,11,link_research.db
589,L11a173,1,92,90,0.19994026589119632,11,link_research.db
590,L11a123,1,90,88,0.1798292560877682,11,link_research.db
591,L11a220,1,82,80,0.3317354606634714,11,link_research.db
592,L11a212,1,84,82,0.30437404371488047,11,link_research.db
593,L11a219,1,86,84,0.18372919855247632,11,link_research.db
594,L11a250,1,86,84,0.3232672914267001,11,link_research.db
595,L11a229,1,86,84,0.38560139019994555,11,link_research.db
596,L11a234,1,82,80,0.24429779221125447,11,link_research.db
597,L11a164,1,94,92,0.21701621973580165,11,link_research.db
598,L11a206,1,98,96,0.1631097600513567,11,link_research.db
599,L11a231,1,86,84,0.27340159774520784,11,link_research.db
600,L11a97,1,82,80,0.34591137026662494,11,link_research.db
601,L11a148,1,86,84,0.29725801276339786,11,link_research.db
602,L11a176,1,84,82,0.3459113702665237,11,link_research.db
603,L11a195,1,88,86,0.3569426127225494,11,link_research.db
604,L11a158,1,80,78,0.26422863763374144,11,link_research.db
605,L11a232,1,82,80,0.3363195507219976,11,link_research.db
606,L11a121,1,82,80,0.33054771035861713,11,link_research.db
607,L11a240,1,82,80,0.34434289721859945,11,link_research.db
608,L11a162,1,90,88,0.18733406298295158,11,link_research.db
609,L11a193,1,82,80,0.33054771035859387,11,link_research.db
610,L11a145,1,90,88,0.2638299195580247,11,link_research.db
611,L11a167,1,86,84,0.36871744099170195,11,link_research.db
612,L11a251,1,88,86,0.37631928374449897,11,link_research.db
613,L11a239,1,82,80,0.29609121626190416,11,link_research.db
614,L11a249,1,80,78,0.39279079989766785,11,link_research.db
615,L11a254,1,86,84,0.19294230347537158,11,link_research.db
616,L11a270,1,86,84,0.1818920339101123,11,link_research.db
617,L11a252,1,84,82,0.3665852644913798,11,link_research.db
618,L11a117,1,94,92,0.1577164657410758,11,link_research.db
619,L11a143,1,80,78,0.38139171091174007,11,link_research.db
620,L11a178,1,84,82,0.3051792466018148,11,link_research.db
621,L11a184,1,82,80,0.3927907998976963,11,link_research.db
622,L11a196,1,88,86,0.2272088786316481,11,link_research.db
623,L11a260,1,92,90,0.21433561072443272,11,link_research.db
624,L11a215,1,84,82,0.22429961359387232,11,link_research.db
625,L11a187,1,90,88,0.26431201444510605,11,link_research.db
626,L11a168,1,82,80,0.3227421328323247,11,link_research.db
627,L11a269,1,88,86,0.33020773658702024,11,link_research.db
628,L11a213,1,80,78,0.21812860963449773,11,link_research.db
629,L11a271,1,92,90,0.2140575877746289,11,link_research.db
630,L11a259,1,90,88,0.18665767901459612,11,link_research.db
631,L11a165,1,86,84,0.17344462708525127,11,link_research.db
632,L11a290,1,88,86,0.37631928374451595,11,link_research.db
633,L11a141,1,88,86,0.32909197033952814,11,link_research.db
634,L11a204,1,92,90,0.24998001549480559,11,link_research.db
635,L11a226,1,82,80,0.4630263586715737,11,link_research.db
636,L11a163,1,88,86,0.20037569449744752,11,link_research.db
637,L11a272,1,88,86,0.2619901262657014,11,link_research.db
638,L11a216,1,84,82,0.3057228933433402,11,link_research.db
639,L11a198,1,78,76,0.2768887370021369,11,link_research.db
640,L11a233,1,84,82,0.45354123323927975,11,link_research.db
641,L11a289,1,80,78,0.307798932628671,11,link_research.db
642,L11a207,1,82,80,0.3459113702666073,11,link_research.db
643,L11a182,1,84,82,0.3402050407112513,11,link_research.db
644,L11a291,1,80,78,0.35305839600402406,11,link_research.db
645,L11a137,1,86,84,0.24351996762632178,11,link_research.db
646,L11a235,1,88,86,0.33229782562595034,11,link_research.db
647,L11a274,1,96,94,0.16835733483509366,11,link_research.db
648,L11a280,1,88,86,0.24351996762631056,11,link_research.db
649,L11a310,1,86,84,0.2786654208692055,11,link_research.db
650,L11a246,1,82,80,0.37199490681242303,11,link_research.db
651,L11a236,1,80,78,0.251506199190157,11,link_research.db
652,L11a161,1,82,80,0.34806798741752715,11,link_research.db
653,L11a188,1,94,92,0.15873528867250075,11,link_research.db
654,L11a292,1,86,84,0.3166251505565312,11,link_research.db
655,L11a227,1,84,82,0.3288606083771316,11,link_research.db
656,L11a218,1,88,86,0.21934926467655855,11,link_research.db
657,L11a224,1,86,84,0.18442799803199522,11,link_research.db
658,L11a253,1,92,90,0.17527490626210446,11,link_research.db
659,L11a202,1,80,78,0.10575488916590417,11,link_research.db
660,L11a279,1,90,88,0.21789710610323176,11,link_research.db
661,L11a330,1,80,78,0.2646989658397493,11,link_research.db
662,L11a309,1,84,82,0.37218142485584077,11,link_research.db
663,L11a311,1,82,80,0.48995853456223976,11,link_research.db
664,L11a183,1,82,80,0.36483822002102423,11,link_research.db
665,L11a255,1,92,90,0.26488934041244466,11,link_research.db
666,L11a157,1,86,84,0.29345009250592924,11,link_research.db
667,L11a266,1,86,84,0.23587971624080276,11,link_research.db
668,L11a185,1,88,86,0.28283153044063053,11,link_research.db
669,L11a300,1,84,82,0.23707171762346033,11,link_research.db
670,L11a247,1,86,84,0.4241657471509787,11,link_research.db
671,L11a312,1,90,88,0.2593726708091037,11,link_research.db
