name,knot_sig,dt_code
14nh_00224,oabcdbefghijklcdmnaehijklgfmnlvtvf----p,fjklinHMadbcGe
14nh_00225,oabcdbefghcdijfgheaklmnijnmlklnvvfHN--p,fedlbaHKnmGcij
14nh_00226,oabcdefdcbghifejklmnlkjiagnmhRAQAcpxCUi,cLhGFIDAnEMBKJ
14nh_00227,oabcdefghijkgfajlhmnedcbnmilkRYSQcFEEEo,hGFJICLmEDNBaK
14nh_00228,oabcdbefghcdijklmnaehijklmngfRjvwfF7-8p,fJlmniHKAeGbcd
14nh_00229,oabcdbefghijcdklaefmnghijnmkll1uvf----p,gjeklbnIMacdHf
14nh_00230,oabcdefbghijcdefklmnaghijklmnR0svf----p,eijmnHKLabFGcd
14nh_00231,oabcdbefghijklcdmnlghijkfeamnRQYQebayao,bjDINKLMCaHFGE
14nh_00232,oabcdefbghcdijklmkaghnjfeinmlRmvLfpFYhc,fjlHbmIKCaGdne
14nh_00233,oabcdbefcdghijkilgmnaefljkhmnltvvf-V3Vn,ehkjnGIaFmlcbd
14nh_00234,oabcdbefghijaklmnefghicdjnklmRALkfFWp4p,ihgLMJnabKFCDE
14nh_00235,oabcdefgcdehijklgfhblimnakjmn3KPsfdqG5m,cinLgKdeMaFHJb
14nh_00236,oabcdecfghijedfbkljimnaklmhgnRQYudNbE+j,dlHnKJECMFGaIb
14nh_00237,oabcdbefghijcdklamnefghijklnmRQuQfFG-ap,gfJKLnaIMBCDHe
14nh_00238,oabcdefdcbghefijaklmnghijnmlkRQuzf-N-Zp,gfeLnbaKJMHCId
14nh_00239,oabcdbefghijklamfncdlkjihgnemRuTud----p,hKInmlBaJCGfed
14nh_00240,oabcdecbfghijkafghlmndelijmnkRAPkd-XJ-p,hLEGJmCnKDIABf
14nh_00241,oabcdefgahcijkibhlgfmnejkdnmllzzBcFkuij,kLhbAnJMcGeDIf
14nh_00242,oabcdbefghijklmnaefghkjicdnmlRQLQeFapGp,gJKLHnmIEABDCf
14nh_00243,oabcdbefcdghijhkaeflmnkglmjinRIMvdFwkNj,gJenbMcIKAHdFL
14nh_00244,oabcdefbghijklaghicdjmnkeflnmRAP0e-XJ-p,hLImgJndKCFABe
14nh_00245,oabcdbefghcdijklmnhgfeamlkjinRk1sfbGF4p,dkjlFINMEcbaHG
14nh_00246,oabcdbefghcdijhgklmnfeaijklmnRkttfbG55p,djlmFINKEaHbcG
14nh_00247,oabcdbefcdghaijklmnjiefghnmlkltvvf--88p,idhgalncbKMeJf
14nh_00248,oabcdefbghijcdjgklmnakhieflmnBMsvfpZ-ho,eigmnHKcLbFJad
14nh_00249,oabcdefdagefhijklhilmncbnmkjgRmtRchM5zi,kMeJfcILGDaHNB
14nh_00250,oabcdbefcdghaefijkljmnklhgnmiRsUmfFMego,iLDFhCnebKMAJg
14nh_00251,oabcdefbghijklmnaghicdjklmefnRALsd-Xp+p,gKHlmInJCFABde
14nh_00252,oabcdefbcdghefijklmnaghijklmnRYuvf----p,ejlmnHIKFaGbcd
14nh_00253,oabcdbefghijaefghiklmncdlmnkjRAQQcFWG-p,iLMHGJDEnKFABC
14nh_00254,oabcdefdcbghifejklmnjiaglmnkhRAQMcpxeki,dLMiHGJEAnFCBK
14nh_00255,oabcdefbghcdijklamnijkhglnefmRkvndbG-Nj,gemKnIaJLFDHbc
14nh_00256,oabcdefgedcbhigfjkalmnkjihnmlRQs1eF+HNp,fenLbaKJMHGDIc
14nh_00257,oabcdbefghficdjkaelmnghnmlijkl1uvf----p,gedkblnIMacjHf
14nh_00258,oabcdecfghijedkgalhimnjkfbnmlxkZSeBHzMp,gKfLJcaEmhNBiD
14nh_00259,oabcdefgahijklefjimngdcblkhmnRmllf----p,kEiMBjNLcafHGD
14nh_00260,oabcdeafghijkledlihgmnjkcbnmftRLQcNbjGj,lGFIndBKCMHaJe
14nh_00261,oabcdbefghijaefklmnghicdjnmlkRAwkfFW84p,iLhgMJncbKFADE
14nh_00262,oabcdecbfghdeijklmihafnlkjmngRMQPc-1-6p,eDLMiHJFAnGCBK
14nh_00263,oabcdbefghijklamnkcdlnjihgfemlv1ufFG-hi,hdInmlkaJCgfeb
14nh_00264,oabcdbefcdghijklmnaghijklmfenRQAQcbaWai,fKLMInHJEGABCD
14nh_00265,oabcdbefghijaklmnefghicdjnklmlvvnf----p,ihglmJnabKFcde
14nh_00266,oabcdbefghijklaefmnkcdlnjihgmlvvtf-H-Fi,hkeInmlbJDagfc
14nh_00267,oabcdefbghijklmganhijmcdeflknRkZQebGzao,gKLHImaJDENBfC
14nh_00268,oabcdbefghijklcdmnaejklmnihgflvtvf----p,fklnjiHMaedbGc
14nh_00269,oabcdefbghcfijklmnhgaijklmednRSAPcbgWdi,eKLGmHDJnFABCi
14nh_00270,oabcdbefghijcdkglemnamflhijknR0mnf----p,eHijnGKMlcFdBa
14nh_00271,oabcdbefghcdijaklmnefghijnmlkRkvAfF4-Wp,hgfKLnbaJMCDIe
14nh_00272,oabcdbefghijkdcljmanmihgfelknRQAPcTFR9j,fnJIMaHLDCBEGK
