name,knot_sig,dt_code
14ah_00111,oabcadefghijklmbcefghijnlknmdvvvvf-F+Fo,mghiklnbcdejaf
14ah_00112,oabcdefghiajklmknbihgfedcnjmlvvvvf--8-d,jcihnmlkabdgfe
14ah_00113,oabcdefghijklmndefghabcjklmnivvvvf-d8pa,efjkialmnbcdgh
14ah_00114,oabcdefghijklmnfghijkledabcnmvvvvf--8-d,cdianjklmbfghe
14ah_00115,oabcdefghijklhmngfedcbnmalkjivvvvf-d5Na,chgmlkibanfedj
14ah_00116,oabcadefghijkbclmnfghijklmnedvvvvf-adam,mlhijnkbcdfgae
14ah_00117,oabcdeafghijklmbcdegnmlkjihnfvvvvf-d8dm,lgjihmnkdcbaef
14ah_00118,oabcdefgedcbahijkihlgflmnkjnmvvvvfF+mjd,icgaldhbfnmekj
14ah_00119,oabcadefghijklmbcnfedmlkjihgnvvvvfpamaa,mhlkjinbaedcgf
14ah_00120,oabcdefgahijklmnjbcdefginmlkhvvvvf-F4Fi,khjiblmndcaefg
14ah_00121,oabcadefghijkljihmnbcnlkmgfedvvvvf-F+Np,mlkfjdcinegbah
14ah_00122,oabcdefghijklmnbchgfedajklmnivvvvf-d8pa,dijhknmlabcegf
14ah_00123,oabcadefghijhgkbcklmnijnmlfedvvvvf-bEao,mleicgnkjdhbaf
14ah_00124,oabcdefgahijklmfedcbgnhmlkjinvvvvf-d8da,kjihmlnacbgfed
14ah_00125,oabcdefghijklmnbefghijkdclanmvvvvf--8-d,bhimjklnadefgc
14ah_00126,oabcdeafghibcdejklmnfghijklmnvvvvf-Wdaa,lhimnjkabefgcd
14ah_00127,oabcdefghijklmnfglkjihabcdenmvvvvf--8-d,defjabknmlcgih
14ah_00128,oabcadefghijkbcklmnghijlmnfedvvvvf-Hhao,mlhifnjkcdgbae
14ah_00129,oabcadefghijklmenbcndmfghijklvvvvf-a8da,mfjklihnabcdeg
14ah_00130,oabcdefghijklmndefghkjilabcnmvvvvf--8-d,cdiajklmnbefhg
14ah_00131,oabcdefgabcdehijklmfgnlkjihmnvvvvf--ada,klmihjnedcgabf
14ah_00132,oabcdefghijklbcdefghimnjalmnkvvvvf-p-Za,cmhijklnadefgb
14ah_00133,oabcdefghijkihlmnfedcbanmlkjgvvvvf-MXpa,dkignmljchbafe
14ah_00134,oabcadefghijkihgflmbcmnkjnledvvvvf-p-pp,mlfejcbinkdgah
14ah_00135,oabcadefghijklmgnbcefmlkjihndvvvvf-d8dm,mhfkjilnbedcag
14ah_00136,oabcdefghijklmnbihgfedclkjanmvvvvf--8-d,bhilkjnmafedcg
14ah_00137,oabcadefghibcjklmnfghijklmnedvvvvf-Waam,mlhinjkbcefgad
14ah_00138,oabcadefghijkbclmndkjihgfelmnvvvvfpadaa,mkjihnladcbfge
14ah_00139,oabcdefgahijklmknbcdefgnjmlihvvvvf--8-m,kjdihlmnbcaefg
14ah_00140,oabcdefghijklhgfedmncbnmalkjivvvvf-dFMa,chgmkjibafendl
14ah_00141,oabcadefgbchijklmnfedghijklmnvvvvfpmaaa,mhinjklbadefgc
14ah_00142,oabcadebcfghfedijklmnghnmlkjivvvvf----p,menicalkjdhgfb
14ah_00143,oabcdeafghijkljmnbcdenlkmihgfvvvvf-F+Np,lkjichmndebafg
14ah_00144,oabcdeabcfghijkdelmnfghijknmlvvvvf-dmaa,lmhijnkbcdgfae
14ah_00145,oabcdefgahijklmbcdefgnhilkjmnvvvvf-d8da,khijlmnacbgdef
14ah_00146,oabcdefghijklmndgfehabcnmlkjivvvvf-d8pa,efkjialmndcbhg
14ah_00147,oabcdefghfijklminhgnedcbaklmjvvvvfFl0+a,cihnmgkjablfed
14ah_00148,oabcadebcfghijklmndehijklmngfvvvvfpdaaa,mhnlijkadefgcb
14ah_00149,oabcdefghijklmnfghkjilabcdenmvvvvf--8-d,defjabklmncgih
14ah_00150,oabcdeafghijkljmnbedcnlkmihgfvvvvf-F+Np,lkjichnmdebafg
14ah_00151,oabcdefghijklmnhijklgfabcdenmvvvvf--8-d,defjabnklmchig
14ah_00152,oabcadefghijkbclmnfghijknmledvvvvf-adam,mlhijnkbcdgfae
14ah_00153,oabcdeafgbcdehijklmgfnhijklmnvvvvf----p,lgmnijkadefhbc
14ah_00154,oabcadefghijklmbcndefkjihglmnvvvvfpamaa,mhkjilnabdcegf
14ah_00155,oabcadefghijklmbcnhgfedmlkjinvvvvfpamaa,mihlkjncbaedgf
14ah_00156,oabcdefghijklmndgfehcbanmlkjivvvvf-d8pa,djihnklmcbagfe
14ah_00157,oabcdefgahijklmbcdefgnjihmlknvvvvf-d8da,khjilmnbacgdef
14ah_00158,oabcdefghijkihlmnfabcdenmlkjgvvvvf-MXpa,fghmkiabnlejdc
14ah_00159,oabcadefghijklmnfghijklbcenmdvvvvf--5-j,mkghilbcdenfaj
14ah_00160,oabcadefghijklmbcnfghijkledmnvvvvfpamaa,mkhijlnbcdeagf
14ah_00161,oabcdeafghibcdejklmnhijklmngfvvvvf-Zdam,lkhmnijbefgacd
14ah_00162,oabcdefghijklmnbgfcdehanmlkjivvvvf-d8pa,djihkmlncbagef
14ah_00163,oabcdefghijkalmfghijknlbcdemnvvvvf--8Zd,ihlmnajkefgbcd
14ah_00164,oabcdeafghijklfdcbemnghijklnmvvvvf-a8aa,lhijamnkbcdgfe
14ah_00165,oabcadefghijklhmnbcndefglkjimvvvvf-h+Fi,mijlkchnabedfg
14ah_00166,oabcdefghijklmnbcdefihgjanklmvvvvf-p8-a,chijklmnbadegf
14ah_00167,oabcadefghijklmnlbckjihgfenmdvvvvf--5-j,mkjihlendcbfag
14ah_00168,oabcdefgahijklmknfedcbgnjmlihvvvvf--8-m,kjdihmlnbcagfe
14ah_00169,oabcdeabcfghijfdeklmnghijnmlkvvvvf-dmaa,lmhibnkjcdgfae
14ah_00170,oabcdefghijklmndefkjihglabcnmvvvvf--8-d,cdiajkmlnbehgf
14ah_00171,oabcdefghijklmnbcdefijkhglanmvvvvf--8-d,bhijkmlnacdfge
14ah_00172,oabcdefgahijklmknbcdefgijmlnhvvvvf--8-m,khdijlmnbcaefg
14ah_00173,oabcdefghijkilmnkjnbcdefghamlvvvvf-By-d,bhklmnjfagicde
14ah_00174,oabcdeafghijkdcbelmnfghijklmnvvvvf-apaa,lhijmnkabcfged
14ah_00175,oabcdefghijklmnlijkfghedcbanmvvvvf--8-d,bhnmkljiafgedc
14ah_00176,oabcdefgahijklmnlkjbcdefginmhvvvvf--5-j,kiejcblmndafgh
14ah_00177,oabcdefghijklmndefghkjilcbanmvvvvf--8-d,bhnijklmadegfc
14ah_00178,oabcadefgbchijklmgfednhijklmnvvvvf----p,mhgnjklbadefic
14ah_00179,oabcadefghibcjklmnjihgfedklmnvvvvf----p,mjihnklecbafgd
14ah_00180,oabcdefghijklhmngfedcbnmalijkvvvvf-d5Na,cghmlkibanfedj
14ah_00181,oabcdeafghijklmgndcbenfmlkjihvvvvf-d8pa,lekjihmnadcbgf
14ah_00182,oabcdefghijfklmknhijgnedcbamlvvvvfFV07d,bhnmgjkialfedc
14ah_00183,oabcdefghijklmnfghijadcbenmlkvvvvf-p8-a,efgkjbalmndchi
14ah_00184,oabcadefghijklmbcmjklnhingfedvvvvf-Z-dp,mlkjhgndecibaf
14ah_00185,oabcdefghijklmnjcdihgfebanmlkvvvvf-p8-a,cihnkmljbadgfe
14ah_00186,oabcadefghijklmbcklmjndefghinvvvvfpW-da,mjklghnedabcif
14ah_00187,oabcdefghijklmnbcdgfehanijklmvvvvf-d8pa,dhijklmnbcaegf
14ah_00188,oabcdeabcfghijfdeklmnihgjnmlkvvvvf-dmaa,lmihbnkjcdgfae
14ah_00189,oabcadefghijklhmnbcnlijkmgfedvvvvf-h+Hp,mlkijchnedfbag
14ah_00190,oabcdefghijkabcdefglmjknlhimnvvvvf---md,ijklhndmfabcge
14ah_00191,oabcdeafghijklmbcdemnglkjihnfvvvvf-b+bi,lhjigmnkdcbaef
14ah_00192,oabcdeabcfghijklfdemnkjihglnmvvvvf-dWaa,lmjihbnkdcegaf
14ah_00193,oabcdefghijklmndejihgfabcnmlkvvvvf-p8-a,dejiaknmlcbfhg
14ah_00194,oabcadefghijkglbclmnhijknmfedvvvvf-bEao,mleijgnkcdhbaf
14ah_00195,oabcdefghijklmnbgfedclkjihanmvvvvf--8-d,bhikjnmlaedcgf
14ah_00196,oabcadefghibcjklmndihgfejklmnvvvvfpWaaa,mjihnklacbefgd
14ah_00197,oabcadebcfghijklmndefgnmlkjihvvvvfpdaaa,mhnilkjacgfedb
